rank,singer,song,time
346,鹿晗 , 勋章,3:33
347,彭筝 , 太想念,3:50
348,刘德华 , 谢谢你的爱 (国语),4:40
349,Luis Fonsi、Daddy Yankee、Justin Bieber , Despacito (Remix),3:48
350,南征北战NZBZ , 我的天空,3:54
351,Deep Chills、IVIE , Run Free (Radio Edit),2:51
352,庄心妍 , 再遇不到你这样的人,5:22
353,Alan Walker , Alone,2:41
354,萌萌哒天团 , 帝都,3:04
355,钟镇涛 , 让一切随风,4:00
356,卢焱 , 流浪,3:21
357,吉克隽逸 , 我等到花儿也谢了 (Live),3:52
358,张冬玲 , 牛在飞,4:03
359,Owl City、Carly Rae Jepsen , Good Time,3:26
360,薛之谦 , 认真的雪,4:18
361,凤凰传奇 , 自由飞翔,4:12
362,杭娇 , 听心,3:56
363,TFBOYS , 加油!AMIGO,4:24
364,张学友 , 只想一生跟你走,5:13
365,摩登兄弟刘宇宁 , 让酒,4:26
366,门丽 , 美美哒,3:38
367,张杰、Angelababy、李晨、陈赫、王大陆 , 这就是爱,4:39
368,郝琪力 , That Girl (中文版),2:58
369,刘佳、十二星宿 风之少年 , 爱的就是你,3:53
370,魏新雨 , 最美的情缘,4:18
371,王童语 , 丫头,5:32
372,卓依婷 , 童年,3:07
373,蒋雪儿 , 爱河,3:38
374,冷漠、杨小曼 , 我爱你胜过你爱我,4:43
375,邓丽君 , 甜蜜蜜,3:29
376,魏新雨 , 恋人心,3:28
377,金南玲、李俊佑 , 超级喜欢你,3:53
378,誓言 , 求佛,4:46
379,Queen , We Will Rock You,2:03
380,小虎队 , 爱,4:31
381,草蜢 , 失恋阵线联盟,2:52
382,李晓杰 , 把酒倒满,4:26
383,黄渤 , 正义之道,3:34
384,罗文、甄妮 , 铁血丹心,2:57
385,祁隆 , 又见山里红,4:02
386,双笙、易言、樊棋、南久 , 九九八十一,4:47
387,宋孟君、威仔 , 9277 (原版),3:06
388,伍佰&China Blue , 突然的自我 (Live),3:36
389,李健 , 贝加尔湖畔,4:05
390,薛之谦 , 天后 (Live),4:07
391,李依晓 , 你一定要幸福,5:12
392,吴静 , 女儿情,1:50
393,郭少杰 , 一曲红尘 (国语),4:30
394,何曼婷 , 卡路里,3:15
395,凤凰传奇 , 荷塘月色,4:10
396,Zedd、Jon Bellion , Beautiful Now,3:38
397,汪峰 , 光明,5:26
398,赵家豪 , 慢慢喜欢你 (Live),3:52
399,刘德华 , 忘情水,4:25
400,冷漠 , 伤心城市,4:24
401,G.E.M.邓紫棋 , 夜空中最亮的星,3:52
402,宋雨 , 往后余生,4:29
403,胡夏 , 红墙叹,4:30
404,高安、杭娇 , 红尘情歌,3:54
405,张信哲 , 白月光,4:27
406,Sam Hunt , Break Up in a Small Town,3:51
407,易烊千玺 , 离骚,4:26
408,林俊杰 , 当你,4:09
409,五月天 , 后来的我们,4:45
410,田馥甄 , 小幸运 (Live),4:10
411,张信哲 , 过火,5:02
412,陈粒 , 小半,4:57
413,吴亦凡、赵丽颖 , 想你,4:04
414,可泽、夏凌兮 , 樱花树下的约定 (原版),3:32
415,邓伦 , 花不语,4:28
416,蒋龙 , 行者,3:02
417,Justin Bieber、Ludacris , Baby,3:34
418,BEYOND , 喜欢你,4:29
419,高安 , 你不来我不老,4:47
420,蔡徐坤 , You Can Be My GirlFriend,3:04
421,庞龙 , 兄弟抱一下,4:25
422,杨洋 , 微微一笑很倾城,3:25
423,张学友 , 一千个伤心的理由,4:36
424,高安、郑莉莉 , 我是否也在你心中,4:15
425,大哲 , 下定决心忘记你,3:43
426,李哈哈 , 再也不会遇见第二个她,2:59
427,许娜 , 童话镇,4:19
428,TFBOYS , 是你,3:51
429,水木年华 , 一生有你,4:18
430,周杰伦 , 东风破,5:15
431,梅艳芳 , 女人花,4:50
432,阎维文 , 强军战歌,1:54
433,伍佰&China Blue , 挪威的森林,6:31
434,叶倩文 , 潇洒走一回,4:10
435,Carpenters , Yesterday Once More,4:01
436,华晨宇 , 平凡之路 (Live),6:53
437,郑源 , 一万个理由,4:25
438,齐豫、周华健 , 天下有情人,4:58
439,汪峰 , 像梦一样自由,3:39
440,周杰伦 , 七里香,4:58
441,刀郎 , 情人,3:16
442,曲肖冰 , 走马,4:06
443,iKON , 사랑을 했다 (LOVE SCENARIO),3:29
444,陈秋含 , 青梅竹马,4:02
445,旦增尼玛 , 东风破 (Live),3:06
446,鹿晗 , 致爱 Your Song,3:11
447,薛之谦 , 怪咖,4:10
448,郭俊辰 , 伴,1:48
449,火风 , 大花轿,4:07
450,龙飞、门丽 , 亲爱的你在哪里,4:01
451,小洲 , 爱都爱了,4:15
452,戴荃 , 悟空 (Live),3:20
453,TFBOYS , 魔法城堡,4:17
454,郑源 , 爱情码头,5:00
455,祁隆 , 爱的世界只有你,3:24
456,张杰 , 最美的太阳 (Live),3:54
457,范晓萱 , 我爱洗澡,2:50
458,田馥甄 , 你就不要想起我,4:40
459,Chris Medina , What Are Words,3:07
460,刘美麟 , 一千零一夜,3:02
461,谭咏麟 , 水中花 (粤语),3:59
462,Michael Jackson , Beat It,4:18
463,李玉刚、石头 , 雨花石,5:32
464,光良 , 童话,4:04
465,张韶涵 , 追梦人 (Live),5:12
466,唐古 , 你的过去我不介意,4:04
467,李晓杰 , 朋友的酒,4:23
468,刘德华 , 冰雨,4:37
469,董又霖 , 一个人去巴黎,4:12
470,耿斯汉 , 一个人,3:52
471,张国荣 , 沉默是金,4:10
472,张碧晨 , 不要忘记我爱你,3:45
473,汤宝如、张学友 , 相思风雨中,4:10
474,郑源 , 当我孤独的时候还可以抱着你,4:21
475,Cubi、江澈、Younglife , BINGBIAN病变,4:02
476,刘卓彦 , 我想和你结婚,3:13
477,孙露 , 离别的秋天,4:23
478,BEYOND , 冷雨夜,4:20
479,六哲、陈娟儿 , 错错错,4:47
480,陶钰玉 , 你会爱我到什么时候,4:02
481,李亮超 , 往后余生,4:19
482,吴忠明、元若蓝 , 心愿便利贴,4:14
483,任贤齐 , 还有我,3:46
484,孙露 , 曾经最美,4:13
485,祁隆 , 想把你挽留,3:05
486,SING女团 , 不羡,4:28
487,陈奕迅 , 爱情转移,4:22
488,摩登兄弟 , 终于走散了,2:40
489,李袁杰、曾惜 , 讲真的,3:59
490,张厦、曾媛媛 , 只宠你一人,3:54
491,陈瑞 , 相思的债,4:50
492,张学友 , 饿狼传说,4:36
493,刘恺名、祁隆 , 想着你亲爱的,4:02
494,卓依婷 , 生日快乐,2:02
495,Maroon 5 , Sugar,3:55
496,王俊凯 , 开门见山 (Live),4:31
497,苏芮 , 酒干倘卖无,4:38
498,凤凰传奇 , 郎的诱惑,3:41
